Trip.Miles	Fare	Date	Trip.Min	Trip.ID	Hour	Time
0.4	4.25	01/06(Fri.)	3.0	12100649dc58bab32172df6cbbea73464946ad55	18	Evening
0.7	31.5	01/05(Thu.)	15.0	36b2de74d9647e74cb997d4d2d599b8ca30f3265	22	Evening
0.0	6.25	01/07(Sat.)	4.0	666863ada33b0df388c6ee8ae734eb73e2acb5f0	5	Night
17.5	42.25	01/04(Wed.)	19.0	29e5c96d6a0539fccc44b367856c7315d8de5abf	23	Evening
0.9	7.25	01/06(Fri.)	11.0	ca8932e057948c0acc8c8abd71c97cfdf1ca4ff2	17	Afternoon
17.2	58.5	01/03(Tue.)	20.0	55cfcfd85cabab0a3556c5ca867785c0b9402500	14	Afternoon
9.0	24.5	01/05(Thu.)	23.0	9c5442d605a7a78d66bbbc1d2a213c30ff2991d7	7	Morning
0.0	7.5	01/04(Wed.)	9.0	c25b7da432a0cb8d31c802c4b0006234faa30602	13	Afternoon
0.0	9.25	01/06(Fri.)	14.0	261d4f9996790cad8f7b0e638d3597b14aa307c8	9	Morning
0.9	5.75	01/07(Sat.)	5.0	17490a698cdd4f53fe5b4befb0ec23a60191e08a	15	Afternoon
0.9	6.25	01/07(Sat.)	9.0	cd79113bb2a35e55d1502f52a643c0c5f1f1c96a	20	Evening
1.7	8.75	01/06(Fri.)	12.0	7194666c3c13d4d232dfee8eb96060fc94e1dfeb	10	Morning
8.8	24.0	01/05(Thu.)	19.0	7e53404e15f268c1dbb5e39a273f50092aa99a75	7	Morning
0.3	4.5	01/06(Fri.)	4.0	a36bc93d6e8f38562f22e3cf37a08b5be79ee7b6	13	Afternoon
1.4	8.5	01/05(Thu.)	13.0	01a321f2cfabc63ceb0b679d1d365c7ce502c1a2	9	Morning
1.06	6.25	01/01(Sun.)	5.4	6b423e0802edae45b98f0619227d61ab396ad9c0	2	Night
0.7	5.75	01/03(Tue.)	7.0	270b7270434d862cbead37b588426017f747d5b3	13	Afternoon
1.9	8.0	01/01(Sun.)	8.0	04689370a5f5271449ce5aee04410eeb1dcf31f2	4	Night
1.4	7.75	01/03(Tue.)	9.0	4ec56bd7bf7b1ca433ffc80e0b1a7b4e0166e5fb	8	Morning
4.0	15.75	01/03(Tue.)	24.0	60123d158fa3ce803d7e73a2692dfe12dff800e5	16	Afternoon
0.0	7.25	01/04(Wed.)	9.0	5e59889cd443ac6a583d2e00f1ae0e9307c39fd8	11	Morning
0.0	3.5	01/06(Fri.)	0.0	24cbb3896f93725b1ee7b62360bc4e6c152c0379	14	Afternoon
1.3	7.75	01/05(Thu.)	11.0	e8932a0fa871c63b9cb388f0e063f871da57b027	12	Afternoon
0.0	3.25	01/02(Mon.)	1.0	fc8ea94e2cc0c95fd2f8560c2187bc1fd821c85f	1	Night
