state,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31
Alabama,226.0,317.0,277.0,224.0,325.0,254.0,355.0,339.0,283.0,221.0,275.0,300.0,236.0,401.0,272.0,301.0,97.0,315.0,290.0,676.0,362.0,256.0,479.0,329.0,508.0,664.0,382.0,498.0,501.0,328.0,593.0
Alaska,9.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,4.0,1.0,4.0,4.0,3.0,0.0,3.0,0.0,2.0,5.0,0.0,3.0,4.0,1.0,13.0,6.0,5.0,28.0
Arizona,314.0,402.0,276.0,279.0,386.0,402.0,238.0,581.0,434.0,159.0,261.0,356.0,440.0,498.0,495.0,462.0,306.0,233.0,396.0,331.0,418.0,293.0,432.0,299.0,222.0,222.0,479.0,501.0,702.0,790.0,681.0
Arkansas,29.0,62.0,59.0,38.0,56.0,86.0,83.0,53.0,0.0,265.0,31.0,121.0,72.0,130.0,97.0,115.0,181.0,54.0,110.0,80.0,455.0,154.0,163.0,147.0,107.0,151.0,97.0,261.0,239.0,236.0,240.0
California,1848.0,1435.0,1319.0,1261.0,2515.0,1939.0,1694.0,2135.0,2208.0,1227.0,1463.0,1636.0,2068.0,1729.0,2068.0,1918.0,1433.0,1577.0,2038.0,2144.0,2363.0,2313.0,2014.0,1928.0,2274.0,2907.0,1949.0,2198.0,2972.0,3057.0,3014.0
Colorado,454.0,457.0,409.0,272.0,457.0,464.0,544.0,455.0,548.0,328.0,198.0,310.0,339.0,371.0,394.0,397.0,305.0,265.0,280.0,315.0,392.0,295.0,476.0,208.0,116.0,297.0,222.0,341.0,486.0,482.0,280.0
Connecticut,1064.0,523.0,0.0,686.0,648.0,374.0,789.0,627.0,573.0,570.0,211.0,568.0,522.0,609.0,621.0,618.0,716.0,697.0,314.0,587.0,191.0,432.0,382.0,446.0,405.0,430.0,0.0,271.0,203.0,260.0,179.0
Delaware,184.0,120.0,170.0,80.0,83.0,407.0,161.0,144.0,194.0,170.0,118.0,176.0,211.0,271.0,150.0,174.0,123.0,199.0,168.0,157.0,192.0,143.0,161.0,119.0,156.0,101.0,30.0,75.0,65.0,186.0,76.0
District of Columbia,335.0,139.0,219.0,154.0,152.0,139.0,193.0,245.0,203.0,170.0,117.0,96.0,99.0,152.0,135.0,171.0,81.0,147.0,164.0,117.0,237.0,105.0,73.0,144.0,115.0,109.0,72.0,86.0,46.0,179.0,84.0
Florida,1037.0,735.0,615.0,819.0,542.0,563.0,826.0,371.0,802.0,595.0,386.0,941.0,479.0,808.0,928.0,673.0,777.0,854.0,502.0,527.0,1204.0,776.0,676.0,740.0,879.0,509.0,379.0,651.0,1212.0,927.0,739.0
Georgia,1005.0,832.0,350.0,732.0,526.0,848.0,800.0,565.0,392.0,786.0,181.0,863.0,555.0,556.0,820.0,413.0,299.0,680.0,580.0,948.0,807.0,765.0,674.0,581.0,425.0,652.0,647.0,650.0,525.0,448.0,715.0
Guam,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,3.0
Hawaii,1.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0
Idaho,19.0,26.0,0.0,47.0,21.0,31.0,20.0,27.0,25.0,2.0,29.0,33.0,31.0,27.0,37.0,30.0,2.0,34.0,21.0,30.0,28.0,61.0,31.0,24.0,14.0,35.0,32.0,39.0,34.0,36.0,15.0
Illinois,3137.0,2450.0,2994.0,2341.0,2049.0,2275.0,2638.0,2886.0,2320.0,1654.0,1461.0,4045.0,1706.0,3207.0,2447.0,2141.0,1691.0,2418.0,1520.0,2415.0,2282.0,2715.0,2390.0,2441.0,1707.0,1238.0,1126.0,1516.0,1666.0,1496.0,1298.0
Indiana,842.0,688.0,638.0,588.0,568.0,863.0,656.0,678.0,619.0,394.0,501.0,542.0,368.0,583.0,654.0,638.0,500.0,478.0,505.0,584.0,687.0,492.0,509.0,477.0,338.0,367.0,386.0,643.0,514.0,665.0,365.0
Iowa,738.0,758.0,528.0,534.0,408.0,293.0,655.0,398.0,214.0,288.0,414.0,539.0,377.0,386.0,374.0,279.0,323.0,304.0,341.0,572.0,302.0,340.0,388.0,536.0,194.0,371.0,447.0,226.0,347.0,317.0,285.0
Kansas,205.0,353.0,314.0,208.0,242.0,266.0,347.0,511.0,172.0,122.0,116.0,191.0,200.0,116.0,338.0,53.0,7.0,373.0,49.0,173.0,110.0,297.0,51.0,16.0,137.0,80.0,101.0,60.0,313.0,21.0,31.0
Kentucky,171.0,2.0,342.0,147.0,452.0,124.0,227.0,125.0,171.0,17.0,224.0,293.0,99.0,295.0,181.0,195.0,20.0,248.0,164.0,131.0,139.0,213.0,124.0,30.0,57.0,276.0,138.0,197.0,178.0,199.0,50.0
Louisiana,710.0,429.0,200.0,363.0,323.0,403.0,253.0,203.0,562.0,183.0,208.0,235.0,612.0,827.0,348.0,280.0,315.0,334.0,329.0,278.0,1188.0,421.0,117.0,128.0,623.0,336.0,442.0,213.0,0.0,775.0,339.0
Maine,28.0,29.0,33.0,20.0,21.0,28.0,76.0,44.0,34.0,28.0,26.0,15.0,38.0,50.0,38.0,45.0,39.0,26.0,28.0,78.0,58.0,71.0,65.0,42.0,19.0,35.0,28.0,52.0,37.0,56.0,43.0
Maryland,1741.0,1002.0,993.0,948.0,708.0,1046.0,1213.0,1116.0,1046.0,1055.0,790.0,691.0,753.0,1094.0,1084.0,978.0,837.0,962.0,1782.0,778.0,1203.0,894.0,1069.0,1311.0,835.0,536.0,752.0,1292.0,1297.0,1031.0,794.0
Massachusetts,2106.0,1952.0,1824.0,1000.0,1184.0,1754.0,1696.0,1612.0,1410.0,1050.0,669.0,870.0,1165.0,1685.0,1239.0,1512.0,1077.0,1042.0,873.0,1045.0,1114.0,805.0,773.0,1013.0,596.0,422.0,527.0,675.0,617.0,789.0,664.0
Michigan,1000.0,843.0,612.0,193.0,395.0,688.0,564.0,676.0,416.0,381.0,410.0,420.0,361.0,1182.0,493.0,434.0,638.0,799.0,484.0,651.0,480.0,397.0,439.0,312.0,200.0,224.0,504.0,400.0,645.0,259.0,507.0
Minnesota,594.0,498.0,435.0,571.0,617.0,728.0,785.0,723.0,702.0,481.0,528.0,695.0,423.0,527.0,797.0,729.0,708.0,695.0,666.0,641.0,530.0,805.0,840.0,728.0,742.0,645.0,505.0,483.0,584.0,659.0,660.0
Mississippi,397.0,229.0,109.0,327.0,330.0,217.0,262.0,404.0,288.0,123.0,173.0,234.0,182.0,393.0,318.0,322.0,173.0,136.0,272.0,263.0,255.0,402.0,381.0,247.0,206.0,273.0,313.0,328.0,418.0,439.0,272.0
Missouri,277.0,314.0,300.0,322.0,143.0,245.0,245.0,164.0,164.0,169.0,119.0,99.0,245.0,121.0,77.0,227.0,275.0,156.0,144.0,141.0,147.0,140.0,125.0,192.0,182.0,141.0,187.0,191.0,134.0,169.0,179.0
Montana,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,12.0,10.0
Nebraska,506.0,494.0,354.0,437.0,319.0,329.0,419.0,640.0,403.0,95.0,247.0,157.0,340.0,339.0,355.0,454.0,128.0,277.0,221.0,273.0,304.0,238.0,327.0,145.0,221.0,264.0,357.0,285.0,394.0,251.0,196.0
