state,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30
Alabama,582.0,237.0,80.0,221.0,315.0,656.0,457.0,425.0,497.0,567.0,856.0,865.0,891.0,1014.0,657.0,640.0,400.0,894.0,796.0,547.0,472.0,433.0,643.0,967.0,1142.0,977.0,900.0,358.0,1734.0,870.0
Alaska,7.0,21.0,19.0,26.0,23.0,14.0,9.0,19.0,13.0,22.0,24.0,22.0,34.0,12.0,4.0,13.0,25.0,19.0,26.0,24.0,14.0,10.0,36.0,21.0,45.0,30.0,26.0,33.0,25.0,47.0
Arizona,187.0,1127.0,995.0,573.0,1551.0,1148.0,1407.0,837.0,635.0,1585.0,1544.0,1642.0,1606.0,1180.0,1052.0,2293.0,1861.0,2572.0,3183.0,3284.0,2468.0,2101.0,3630.0,1810.0,3090.0,3379.0,3476.0,3809.0,641.0,4797.0
Arkansas,190.0,375.0,249.0,358.0,226.0,450.0,325.0,314.0,340.0,288.0,448.0,731.0,548.0,406.0,416.0,274.0,415.0,322.0,703.0,511.0,419.0,522.0,595.0,697.0,687.0,678.0,570.0,508.0,439.0,520.0
California,2529.0,2438.0,2326.0,2510.0,3593.0,2637.0,2850.0,2290.0,2958.0,2894.0,3570.0,3576.0,3149.0,2519.0,2709.0,3469.0,4250.0,3754.0,3708.0,4011.0,3953.0,5813.0,6419.0,4850.0,5524.0,5614.0,4426.0,5502.0,7040.0,8158.0
Colorado,199.0,211.0,272.0,300.0,255.0,233.0,153.0,182.0,164.0,151.0,148.0,175.0,195.0,113.0,169.0,143.0,231.0,228.0,286.0,162.0,190.0,165.0,188.0,262.0,324.0,317.0,226.0,284.0,205.0,203.0
Connecticut,539.0,239.0,112.0,148.0,221.0,358.0,150.0,124.0,87.0,168.0,114.0,228.0,305.0,94.0,147.0,114.0,80.0,11.0,117.0,158.0,40.0,27.0,117.0,14.0,81.0,65.0,147.0,97.0,59.0,152.0
Delaware,107.0,80.0,27.0,34.0,27.0,72.0,97.0,30.0,48.0,36.0,50.0,67.0,56.0,35.0,76.0,63.0,41.0,55.0,112.0,70.0,94.0,45.0,27.0,42.0,91.0,37.0,74.0,135.0,150.0,98.0
District of Columbia,56.0,29.0,130.0,104.0,79.0,70.0,63.0,57.0,85.0,63.0,52.0,65.0,55.0,58.0,32.0,19.0,29.0,56.0,49.0,32.0,36.0,38.0,36.0,34.0,31.0,26.0,31.0,32.0,44.0,35.0
Florida,667.0,617.0,1317.0,1419.0,1305.0,1270.0,1180.0,966.0,1096.0,1371.0,1698.0,1902.0,2581.0,2016.0,1758.0,2783.0,2610.0,3207.0,3822.0,4049.0,3494.0,2926.0,3286.0,5511.0,5004.0,8942.0,9585.0,8530.0,5266.0,6093.0
Georgia,706.0,306.0,648.0,817.0,752.0,663.0,428.0,624.0,774.0,696.0,867.0,869.0,977.0,696.0,631.0,797.0,915.0,823.0,1077.0,1552.0,824.0,1212.0,1872.0,1713.0,1506.0,1746.0,1524.0,1734.0,2016.0,2464.0
Guam,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,5.0,7.0,22.0,0.0,0.0,3.0,6.0,14.0,3.0,0.0,0.0,7.0,4.0
Hawaii,0.0,1.0,0.0,1.0,9.0,8.0,2.0,1.0,6.0,3.0,7.0,14.0,17.0,5.0,8.0,4.0,4.0,18.0,27.0,14.0,11.0,2.0,3.0,14.0,15.0,14.0,6.0,27.0,1.0,17.0
Idaho,53.0,27.0,55.0,64.0,57.0,28.0,14.0,44.0,29.0,36.0,41.0,51.0,45.0,14.0,59.0,71.0,91.0,110.0,127.0,135.0,19.0,242.0,145.0,238.0,219.0,280.0,170.0,224.0,227.0,354.0
Illinois,1078.0,1578.0,1035.0,870.0,1168.0,934.0,819.0,1473.0,778.0,568.0,842.0,758.0,628.0,602.0,528.0,619.0,550.0,665.0,836.0,618.0,619.0,461.0,667.0,743.0,910.0,877.0,724.0,581.0,768.0,776.0
Indiana,255.0,445.0,480.0,396.0,494.0,429.0,400.0,225.0,432.0,312.0,417.0,400.0,421.0,366.0,521.0,358.0,256.0,444.0,321.0,334.0,361.0,213.0,258.0,293.0,519.0,490.0,438.0,364.0,299.0,370.0
Iowa,168.0,228.0,359.0,567.0,389.0,195.0,267.0,317.0,160.0,462.0,370.0,352.0,337.0,167.0,151.0,153.0,353.0,343.0,465.0,128.0,468.0,197.0,253.0,427.0,487.0,444.0,375.0,317.0,354.0,278.0
Kansas,225.0,40.0,138.0,51.0,161.0,24.0,32.0,175.0,62.0,145.0,53.0,168.0,43.0,52.0,269.0,53.0,232.0,85.0,282.0,50.0,40.0,318.0,83.0,451.0,97.0,522.0,38.0,249.0,552.0,61.0
Kentucky,213.0,137.0,198.0,296.0,270.0,308.0,34.0,308.0,190.0,138.0,99.0,224.0,253.0,47.0,211.0,36.0,291.0,201.0,238.0,171.0,119.0,154.0,250.0,199.0,271.0,240.0,304.0,143.0,177.0,259.0
Louisiana,431.0,405.0,387.0,429.0,427.0,497.0,330.0,236.0,562.0,418.0,442.0,523.0,1288.0,336.0,552.0,534.0,928.0,760.0,0.0,870.0,393.0,462.0,1356.0,882.0,938.0,1354.0,0.0,1467.0,840.0,1014.0
Maine,24.0,28.0,41.0,28.0,36.0,42.0,46.0,18.0,18.0,31.0,30.0,54.0,36.0,36.0,17.0,9.0,17.0,42.0,35.0,25.0,19.0,14.0,23.0,23.0,53.0,32.0,52.0,37.0,28.0,34.0
Maryland,579.0,796.0,786.0,873.0,917.0,692.0,494.0,431.0,519.0,571.0,709.0,439.0,673.0,393.0,325.0,351.0,561.0,274.0,311.0,415.0,338.0,299.0,400.0,332.0,463.0,307.0,328.0,328.0,477.0,315.0
Massachusetts,3840.0,358.0,429.0,471.0,494.0,575.0,304.0,190.0,263.0,267.0,511.0,392.0,336.0,208.0,87.0,195.0,266.0,271.0,228.0,286.0,125.0,149.0,229.0,172.0,226.0,233.0,373.0,224.0,101.0,114.0
Michigan,1080.0,245.0,310.0,225.0,4529.0,452.0,419.0,296.0,279.0,187.0,250.0,254.0,143.0,222.0,56.0,164.0,228.0,286.0,320.0,421.0,152.0,271.0,229.0,338.0,448.0,314.0,329.0,240.0,314.0,494.0
