state,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11
Alabama,917.0,1149.0,1754.0,997.0,1091.0,925.0,907.0,1177.0,2212.0,1334.0,1439.0
Alaska,42.0,50.0,60.0,55.0,32.0,30.0,22.0,49.0,49.0,58.0,77.0
Arizona,4753.0,3343.0,4399.0,2722.0,3510.0,3416.0,3617.0,3551.0,4073.0,4164.0,2996.0
Arkansas,420.0,878.0,547.0,587.0,605.0,439.0,259.0,734.0,806.0,751.0,1061.0
California,7611.0,8434.0,8100.0,8878.0,6411.0,6282.0,9897.0,8538.0,7212.0,7989.0,7863.0
Colorado,314.0,323.0,272.0,293.0,200.0,216.0,401.0,468.0,419.0,606.0,423.0
Connecticut,58.0,74.0,71.0,0.0,0.0,259.0,57.0,75.0,101.0,78.0,0.0
Delaware,36.0,221.0,192.0,73.0,132.0,165.0,121.0,48.0,69.0,121.0,91.0
District of Columbia,38.0,25.0,45.0,12.0,35.0,33.0,54.0,73.0,37.0,64.0,58.0
Florida,6563.0,10109.0,9488.0,11458.0,10059.0,6336.0,7347.0,9989.0,8935.0,11433.0,10360.0
Georgia,2309.0,2886.0,2604.0,2513.0,1897.0,1526.0,2692.0,2831.0,2155.0,4904.0,2977.0
Guam,12.0,9.0,6.0,2.0,0.0,13.0,2.0,4.0,2.0,1.0,2.0
Hawaii,8.0,20.0,28.0,24.0,24.0,7.0,41.0,23.0,36.0,27.0,42.0
Idaho,255.0,309.0,346.0,397.0,368.0,423.0,360.0,422.0,594.0,475.0,511.0
Illinois,880.0,866.0,886.0,858.0,579.0,698.0,682.0,945.0,1133.0,1218.0,1117.0
Indiana,376.0,437.0,546.0,529.0,575.0,357.0,299.0,450.0,520.0,738.0,791.0
Iowa,466.0,641.0,372.0,536.0,445.0,152.0,389.0,563.0,600.0,916.0,426.0
Kansas,513.0,84.0,789.0,150.0,124.0,793.0,75.0,650.0,224.0,768.0,181.0
Kentucky,198.0,256.0,285.0,54.0,3.0,752.0,356.0,384.0,372.0,500.0,446.0
Louisiana,2083.0,1383.0,1728.0,0.0,1937.0,1101.0,1936.0,1888.0,1843.0,2642.0,2167.0
Maine,41.0,34.0,45.0,24.0,18.0,8.0,17.0,20.0,26.0,13.0,21.0
Maryland,350.0,513.0,407.0,302.0,233.0,540.0,489.0,469.0,582.0,466.0,557.0
Massachusetts,261.0,195.0,290.0,210.0,136.0,163.0,201.0,264.0,295.0,213.0,288.0
Michigan,429.0,574.0,453.0,396.0,325.0,376.0,608.0,649.0,587.0,624.0,628.0
Minnesota,415.0,494.0,414.0,0.0,512.0,433.0,564.0,457.0,574.0,604.0,804.0
Mississippi,652.0,870.0,914.0,990.0,226.0,357.0,957.0,674.0,703.0,1031.0,797.0
Missouri,320.0,490.0,535.0,441.0,273.0,516.0,716.0,777.0,958.0,759.0,589.0
Montana,49.0,67.0,45.0,39.0,45.0,37.0,78.0,44.0,95.0,127.0,84.0
Nebraska,131.0,151.0,184.0,166.0,111.0,115.0,153.0,232.0,221.0,176.0,201.0
Nevada,569.0,720.0,1007.0,793.0,847.0,412.0,918.0,530.0,677.0,906.0,951.0
New Hampshire,20.0,20.0,35.0,14.0,26.0,17.0,18.0,20.0,21.0,18.0,33.0
New Jersey,261.0,430.0,386.0,291.0,369.0,209.0,267.0,252.0,231.0,358.0,331.0
New Mexico,129.0,244.0,256.0,287.0,193.0,251.0,220.0,290.0,234.0,298.0,0.0
New York,628.0,872.0,919.0,725.0,536.0,516.0,590.0,691.0,588.0,790.0,727.0
North Carolina,1753.0,1693.0,1939.0,1287.0,1360.0,1836.0,1328.0,1477.0,1913.0,2173.0,2266.0
North Dakota,39.0,42.0,65.0,57.0,37.0,33.0,45.0,72.0,99.0,84.0,89.0
Northern Mariana Islands,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ohio,1076.0,1301.0,1091.0,926.0,968.0,805.0,948.0,1277.0,1150.0,1525.0,1358.0
Oklahoma,355.0,427.0,526.0,580.0,283.0,434.0,858.0,673.0,603.0,596.0,687.0
Oregon,274.0,363.0,343.0,294.0,300.0,165.0,210.0,212.0,371.0,259.0,397.0
Pennsylvania,638.0,839.0,715.0,504.0,481.0,784.0,799.0,831.0,817.0,940.0,678.0
Puerto Rico,72.0,71.0,75.0,104.0,129.0,669.0,129.0,31.0,117.0,275.0,229.0
Rhode Island,40.0,88.0,50.0,0.0,0.0,0.0,163.0,50.0,39.0,69.0,0.0
South Carolina,1520.0,1782.0,1831.0,1854.0,1461.0,1533.0,972.0,1557.0,1782.0,1728.0,2280.0
South Dakota,62.0,67.0,85.0,50.0,35.0,42.0,58.0,79.0,94.0,65.0,53.0
Tennessee,1545.0,1816.0,1706.0,1350.0,1133.0,1144.0,1134.0,2113.0,1775.0,1693.0,1757.0
Texas,8123.0,7434.0,7158.0,6289.0,4430.0,9213.0,9814.0,9952.0,10909.0,9923.0,7274.0
Utah,500.0,602.0,604.0,647.0,288.0,648.0,550.0,718.0,711.0,820.0,619.0
Vermont,2.0,17.0,9.0,2.0,11.0,2.0,3.0,2.0,16.0,5.0,6.0
Virgin Islands,9.0,8.0,13.0,0.0,1.0,0.0,10.0,22.0,0.0,23.0,0.0
Virginia,416.0,532.0,658.0,716.0,639.0,354.0,638.0,635.0,613.0,943.0,851.0
Washington,717.0,663.0,496.0,382.0,669.0,1049.0,546.0,598.0,708.0,721.0,229.0
West Virginia,75.0,74.0,73.0,79.0,130.0,107.0,63.0,202.0,119.0,157.0,163.0
Wisconsin,584.0,569.0,689.0,678.0,507.0,568.0,516.0,692.0,832.0,1056.0,681.0
Wyoming,27.0,36.0,32.0,24.0,28.0,41.0,36.0,29.0,34.0,16.0,49.0
