,state,month,count,category
0,Alabama,2020-03,999.0,c-2020-03
1,Alabama,2020-04,6069.0,c-2020-04
2,Alabama,2020-05,10884.0,c-2020-05
3,Alabama,2020-06,20093.0,c-2020-06
4,Alabama,2020-07,13902.0,c-2020-07
5,Alaska,2020-03,133.0,c-2020-03
6,Alaska,2020-04,220.0,c-2020-04
7,Alaska,2020-05,116.0,c-2020-05
8,Alaska,2020-06,663.0,c-2020-06
9,Alaska,2020-07,524.0,c-2020-07
10,Arizona,2020-01,1.0,c-2020-01
11,Arizona,2020-02,0.0,c-2020-02
12,Arizona,2020-03,1297.0,c-2020-03
13,Arizona,2020-04,6350.0,c-2020-04
14,Arizona,2020-05,12288.0,c-2020-05
15,Arizona,2020-06,59463.0,c-2020-06
16,Arizona,2020-07,40544.0,c-2020-07
17,Arkansas,2020-03,564.0,c-2020-03
18,Arkansas,2020-04,2717.0,c-2020-04
19,Arkansas,2020-05,3972.0,c-2020-05
20,Arkansas,2020-06,13524.0,c-2020-06
21,Arkansas,2020-07,7087.0,c-2020-07
22,California,2020-01,3.0,c-2020-01
23,California,2020-02,25.0,c-2020-02
24,California,2020-03,8555.0,c-2020-03
25,California,2020-04,41887.0,c-2020-04
26,California,2020-05,62644.0,c-2020-05
27,California,2020-06,119039.0,c-2020-06
28,California,2020-07,87215.0,c-2020-07
29,Colorado,2020-03,2990.0,c-2020-03
30,Colorado,2020-04,12217.0,c-2020-04
31,Colorado,2020-05,11157.0,c-2020-05
32,Colorado,2020-06,6334.0,c-2020-06
33,Colorado,2020-07,3935.0,c-2020-07
34,Connecticut,2020-03,3128.0,c-2020-03
35,Connecticut,2020-04,24572.0,c-2020-04
36,Connecticut,2020-05,14501.0,c-2020-05
37,Connecticut,2020-06,4313.0,c-2020-06
38,Connecticut,2020-07,773.0,c-2020-07
39,Delaware,2020-03,319.0,c-2020-03
40,Delaware,2020-04,4415.0,c-2020-04
41,Delaware,2020-05,4764.0,c-2020-05
42,Delaware,2020-06,1976.0,c-2020-06
43,Delaware,2020-07,1269.0,c-2020-07
44,District of Columbia,2020-03,495.0,c-2020-03
45,District of Columbia,2020-04,3828.0,c-2020-04
46,District of Columbia,2020-05,4478.0,c-2020-05
47,District of Columbia,2020-06,1526.0,c-2020-06
48,District of Columbia,2020-07,474.0,c-2020-07
49,Florida,2020-03,6742.0,c-2020-03
50,Florida,2020-04,26941.0,c-2020-04
51,Florida,2020-05,22472.0,c-2020-05
52,Florida,2020-06,96271.0,c-2020-06
53,Florida,2020-07,102077.0,c-2020-07
54,Georgia,2020-03,4116.0,c-2020-03
55,Georgia,2020-04,21315.0,c-2020-04
56,Georgia,2020-05,19620.0,c-2020-05
57,Georgia,2020-06,32229.0,c-2020-06
58,Georgia,2020-07,29294.0,c-2020-07
59,Guam,2020-03,139.0,c-2020-03
60,Guam,2020-04,976.0,c-2020-04
61,Guam,2020-05,29.0,c-2020-05
62,Guam,2020-06,84.0,c-2020-06
63,Guam,2020-07,53.0,c-2020-07
64,Hawaii,2020-03,224.0,c-2020-03
65,Hawaii,2020-04,385.0,c-2020-04
66,Hawaii,2020-05,33.0,c-2020-05
67,Hawaii,2020-06,259.0,c-2020-06
68,Hawaii,2020-07,280.0,c-2020-07
69,Idaho,2020-03,526.0,c-2020-03
70,Idaho,2020-04,1490.0,c-2020-04
71,Idaho,2020-05,839.0,c-2020-05
72,Idaho,2020-06,3269.0,c-2020-06
73,Idaho,2020-07,4460.0,c-2020-07
74,Illinois,2020-01,2.0,c-2020-01
75,Illinois,2020-02,1.0,c-2020-02
76,Illinois,2020-03,5989.0,c-2020-03
77,Illinois,2020-04,46926.0,c-2020-04
78,Illinois,2020-05,67670.0,c-2020-05
79,Illinois,2020-06,24073.0,c-2020-06
80,Illinois,2020-07,9862.0,c-2020-07
81,Indiana,2020-03,2177.0,c-2020-03
82,Indiana,2020-04,15922.0,c-2020-04
83,Indiana,2020-05,17330.0,c-2020-05
84,Indiana,2020-06,11311.0,c-2020-06
85,Indiana,2020-07,5618.0,c-2020-07
86,Iowa,2020-03,498.0,c-2020-03
87,Iowa,2020-04,6647.0,c-2020-04
88,Iowa,2020-05,12476.0,c-2020-05
89,Iowa,2020-06,9531.0,c-2020-06
90,Iowa,2020-07,5506.0,c-2020-07
91,Kansas,2020-03,435.0,c-2020-03
92,Kansas,2020-04,3870.0,c-2020-04
93,Kansas,2020-05,5573.0,c-2020-05
94,Kansas,2020-06,4751.0,c-2020-06
95,Kansas,2020-07,4351.0,c-2020-07
96,Kentucky,2020-03,590.0,c-2020-03
97,Kentucky,2020-04,4118.0,c-2020-04
98,Kentucky,2020-05,5229.0,c-2020-05
99,Kentucky,2020-06,5979.0,c-2020-06
100,Kentucky,2020-07,3606.0,c-2020-07
101,Louisiana,2020-03,5237.0,c-2020-03
102,Louisiana,2020-04,22807.0,c-2020-04
103,Louisiana,2020-05,11977.0,c-2020-05
104,Louisiana,2020-06,18182.0,c-2020-06
105,Louisiana,2020-07,18708.0,c-2020-07
106,Maine,2020-03,303.0,c-2020-03
107,Maine,2020-04,792.0,c-2020-04
108,Maine,2020-05,1230.0,c-2020-05
109,Maine,2020-06,928.0,c-2020-06
110,Maine,2020-07,267.0,c-2020-07
111,Maryland,2020-03,1662.0,c-2020-03
112,Maryland,2020-04,20163.0,c-2020-04
113,Maryland,2020-05,31631.0,c-2020-05
114,Maryland,2020-06,14696.0,c-2020-06
115,Maryland,2020-07,4908.0,c-2020-07
116,Massachusetts,2020-02,1.0,c-2020-02
117,Massachusetts,2020-03,6619.0,c-2020-03
118,Massachusetts,2020-04,55585.0,c-2020-04
119,Massachusetts,2020-05,34760.0,c-2020-05
120,Massachusetts,2020-06,11917.0,c-2020-06
121,Massachusetts,2020-07,2516.0,c-2020-07
122,Michigan,2020-03,7629.0,c-2020-03
123,Michigan,2020-04,33719.0,c-2020-04
124,Michigan,2020-05,16007.0,c-2020-05
125,Michigan,2020-06,13495.0,c-2020-06
126,Michigan,2020-07,5649.0,c-2020-07
127,Minnesota,2020-03,629.0,c-2020-03
128,Minnesota,2020-04,4507.0,c-2020-04
129,Minnesota,2020-05,19724.0,c-2020-05
130,Minnesota,2020-06,11478.0,c-2020-06
131,Minnesota,2020-07,5271.0,c-2020-07
132,Mississippi,2020-03,937.0,c-2020-03
133,Mississippi,2020-04,5878.0,c-2020-04
134,Mississippi,2020-05,8686.0,c-2020-05
135,Mississippi,2020-06,11747.0,c-2020-06
136,Mississippi,2020-07,8171.0,c-2020-07
137,Missouri,2020-03,1350.0,c-2020-03
138,Missouri,2020-04,6213.0,c-2020-04
139,Missouri,2020-05,5734.0,c-2020-05
140,Missouri,2020-06,8978.0,c-2020-06
141,Missouri,2020-07,6374.0,c-2020-07
142,Montana,2020-03,198.0,c-2020-03
143,Montana,2020-04,254.0,c-2020-04
144,Montana,2020-05,63.0,c-2020-05
145,Montana,2020-06,452.0,c-2020-06
146,Montana,2020-07,710.0,c-2020-07
147,Nebraska,2020-02,13.0,c-2020-02
148,Nebraska,2020-03,186.0,c-2020-03
149,Nebraska,2020-04,4133.0,c-2020-04
150,Nebraska,2020-05,9769.0,c-2020-05
151,Nebraska,2020-06,5093.0,c-2020-06
152,Nebraska,2020-07,1841.0,c-2020-07
153,Nevada,2020-03,1113.0,c-2020-03
154,Nevada,2020-04,3940.0,c-2020-04
155,Nevada,2020-05,3575.0,c-2020-05
156,Nevada,2020-06,9954.0,c-2020-06
157,Nevada,2020-07,8330.0,c-2020-07
158,New Hampshire,2020-03,367.0,c-2020-03
159,New Hampshire,2020-04,1779.0,c-2020-04
160,New Hampshire,2020-05,2505.0,c-2020-05
161,New Hampshire,2020-06,1131.0,c-2020-06
162,New Hampshire,2020-07,242.0,c-2020-07
163,New Jersey,2020-03,18696.0,c-2020-03
164,New Jersey,2020-04,99956.0,c-2020-04
165,New Jersey,2020-05,41793.0,c-2020-05
166,New Jersey,2020-06,13076.0,c-2020-06
167,New Jersey,2020-07,3385.0,c-2020-07
168,New Mexico,2020-03,315.0,c-2020-03
169,New Mexico,2020-04,3096.0,c-2020-04
170,New Mexico,2020-05,4278.0,c-2020-05
171,New Mexico,2020-06,4458.0,c-2020-06
172,New Mexico,2020-07,2402.0,c-2020-07
173,New York,2020-03,76211.0,c-2020-03
174,New York,2020-04,233485.0,c-2020-04
175,New York,2020-05,65879.0,c-2020-05
176,New York,2020-06,22567.0,c-2020-06
177,New York,2020-07,7582.0,c-2020-07
178,North Carolina,2020-03,1527.0,c-2020-03
179,North Carolina,2020-04,8980.0,c-2020-04
180,North Carolina,2020-05,18179.0,c-2020-05
181,North Carolina,2020-06,36376.0,c-2020-06
182,North Carolina,2020-07,19025.0,c-2020-07
183,North Dakota,2020-03,126.0,c-2020-03
184,North Dakota,2020-04,941.0,c-2020-04
185,North Dakota,2020-05,1513.0,c-2020-05
186,North Dakota,2020-06,1005.0,c-2020-06
187,North Dakota,2020-07,662.0,c-2020-07
188,Northern Mariana Islands,2020-03,2.0,c-2020-03
189,Northern Mariana Islands,2020-04,12.0,c-2020-04
190,Northern Mariana Islands,2020-05,8.0,c-2020-05
191,Northern Mariana Islands,2020-06,8.0,c-2020-06
192,Northern Mariana Islands,2020-07,3.0,c-2020-07
193,Ohio,2020-03,2199.0,c-2020-03
194,Ohio,2020-04,15828.0,c-2020-04
195,Ohio,2020-05,17486.0,c-2020-05
196,Ohio,2020-06,16276.0,c-2020-06
197,Ohio,2020-07,12425.0,c-2020-07
198,Oklahoma,2020-03,566.0,c-2020-03
199,Oklahoma,2020-04,3052.0,c-2020-04
200,Oklahoma,2020-05,2888.0,c-2020-05
201,Oklahoma,2020-06,7251.0,c-2020-06
202,Oklahoma,2020-07,6022.0,c-2020-07
203,Oregon,2020-02,1.0,c-2020-02
204,Oregon,2020-03,689.0,c-2020-03
205,Oregon,2020-04,1820.0,c-2020-04
206,Oregon,2020-05,1733.0,c-2020-05
207,Oregon,2020-06,4420.0,c-2020-06
208,Oregon,2020-07,3188.0,c-2020-07
209,Pennsylvania,2020-03,4997.0,c-2020-03
210,Pennsylvania,2020-04,43227.0,c-2020-04
211,Pennsylvania,2020-05,27994.0,c-2020-05
212,Pennsylvania,2020-06,15008.0,c-2020-06
213,Pennsylvania,2020-07,8026.0,c-2020-07
214,Puerto Rico,2020-03,239.0,c-2020-03
215,Puerto Rico,2020-04,1298.0,c-2020-04
216,Puerto Rico,2020-05,2239.0,c-2020-05
217,Puerto Rico,2020-06,3689.0,c-2020-06
218,Puerto Rico,2020-07,1901.0,c-2020-07
219,Rhode Island,2020-03,488.0,c-2020-03
220,Rhode Island,2020-04,8133.0,c-2020-04
221,Rhode Island,2020-05,6307.0,c-2020-05
222,Rhode Island,2020-06,1885.0,c-2020-06
223,Rhode Island,2020-07,499.0,c-2020-07
224,South Carolina,2020-03,1083.0,c-2020-03
225,South Carolina,2020-04,5012.0,c-2020-04
226,South Carolina,2020-05,5766.0,c-2020-05
227,South Carolina,2020-06,24538.0,c-2020-06
228,South Carolina,2020-07,18300.0,c-2020-07
229,South Dakota,2020-03,107.0,c-2020-03
230,South Dakota,2020-04,2343.0,c-2020-04
231,South Dakota,2020-05,2543.0,c-2020-05
232,South Dakota,2020-06,1771.0,c-2020-06
233,South Dakota,2020-07,690.0,c-2020-07
234,Tennessee,2020-03,2049.0,c-2020-03
235,Tennessee,2020-04,8457.0,c-2020-04
236,Tennessee,2020-05,12326.0,c-2020-05
237,Tennessee,2020-06,19983.0,c-2020-06
238,Tennessee,2020-07,17166.0,c-2020-07
239,Texas,2020-02,11.0,c-2020-02
240,Texas,2020-03,3577.0,c-2020-03
241,Texas,2020-04,25484.0,c-2020-04
242,Texas,2020-05,35902.0,c-2020-05
243,Texas,2020-06,101729.0,c-2020-06
244,Texas,2020-07,90519.0,c-2020-07
245,Utah,2020-02,1.0,c-2020-02
246,Utah,2020-03,886.0,c-2020-03
247,Utah,2020-04,3785.0,c-2020-04
248,Utah,2020-05,5157.0,c-2020-05
249,Utah,2020-06,12535.0,c-2020-06
250,Utah,2020-07,6707.0,c-2020-07
251,Vermont,2020-03,293.0,c-2020-03
252,Vermont,2020-04,573.0,c-2020-04
253,Vermont,2020-05,115.0,c-2020-05
254,Vermont,2020-06,227.0,c-2020-06
255,Vermont,2020-07,75.0,c-2020-07
256,Virgin Islands,2020-03,30.0,c-2020-03
257,Virgin Islands,2020-04,36.0,c-2020-04
258,Virgin Islands,2020-05,3.0,c-2020-05
259,Virgin Islands,2020-06,12.0,c-2020-06
260,Virgin Islands,2020-07,86.0,c-2020-07
261,Virginia,2020-03,1249.0,c-2020-03
262,Virginia,2020-04,14597.0,c-2020-04
263,Virginia,2020-05,28761.0,c-2020-05
264,Virginia,2020-06,18180.0,c-2020-06
265,Virginia,2020-07,6995.0,c-2020-07
266,Washington,2020-01,1.0,c-2020-01
267,Washington,2020-02,9.0,c-2020-02
268,Washington,2020-03,5283.0,c-2020-03
269,Washington,2020-04,9521.0,c-2020-04
270,Washington,2020-05,8000.0,c-2020-05
271,Washington,2020-06,11727.0,c-2020-06
272,Washington,2020-07,6778.0,c-2020-07
273,West Virginia,2020-03,162.0,c-2020-03
274,West Virginia,2020-04,964.0,c-2020-04
275,West Virginia,2020-05,884.0,c-2020-05
276,West Virginia,2020-06,894.0,c-2020-06
277,West Virginia,2020-07,1242.0,c-2020-07
278,Wisconsin,2020-02,1.0,c-2020-02
279,Wisconsin,2020-03,1350.0,c-2020-03
280,Wisconsin,2020-04,5503.0,c-2020-04
281,Wisconsin,2020-05,11564.0,c-2020-05
282,Wisconsin,2020-06,13305.0,c-2020-06
283,Wisconsin,2020-07,7372.0,c-2020-07
284,Wyoming,2020-03,121.0,c-2020-03
285,Wyoming,2020-04,438.0,c-2020-04
286,Wyoming,2020-05,344.0,c-2020-05
287,Wyoming,2020-06,584.0,c-2020-06
288,Wyoming,2020-07,352.0,c-2020-07
0,Alabama,2020-03,14.0,d-2020-03
1,Alabama,2020-04,258.0,d-2020-04
2,Alabama,2020-05,358.0,d-2020-05
3,Alabama,2020-06,320.0,d-2020-06
4,Alabama,2020-07,164.0,d-2020-07
5,Alaska,2020-03,2.0,d-2020-03
6,Alaska,2020-04,5.0,d-2020-04
7,Alaska,2020-05,1.0,d-2020-05
8,Alaska,2020-06,4.0,d-2020-06
9,Alaska,2020-07,3.0,d-2020-07
10,Arizona,2020-01,0.0,d-2020-01
11,Arizona,2020-02,0.0,d-2020-02
12,Arizona,2020-03,24.0,d-2020-03
13,Arizona,2020-04,296.0,d-2020-04
14,Arizona,2020-05,586.0,d-2020-05
15,Arizona,2020-06,739.0,d-2020-06
16,Arizona,2020-07,513.0,d-2020-07
17,Arkansas,2020-03,8.0,d-2020-03
18,Arkansas,2020-04,53.0,d-2020-04
19,Arkansas,2020-05,72.0,d-2020-05
20,Arkansas,2020-06,137.0,d-2020-06
21,Arkansas,2020-07,49.0,d-2020-07
22,California,2020-01,0.0,d-2020-01
23,California,2020-02,0.0,d-2020-02
24,California,2020-03,184.0,d-2020-03
25,California,2020-04,1873.0,d-2020-04
26,California,2020-05,2185.0,d-2020-05
27,California,2020-06,1841.0,d-2020-06
28,California,2020-07,925.0,d-2020-07
29,Colorado,2020-03,69.0,d-2020-03
